company_name,company_id,company_isin,company_lei,weights,investment_value,engagement_target
Company 6,Customer6,N/A,N/A,2.86%,3101504,
Company 116,Customer116,N/A,N/A,27.74%,30037648,
Company 117,Customer117,N/A,N/A,19.94%,21590662,
Company 119,Customer119,N/A,789000USXJ5EA7GBM139,13.58%,14708835,
Company 121,Customer121,N/A,789000SVZUQTHE1Q7X60,14.97%,16208861,
Company 123,Customer123,TREMEGM00024,789000M81MSDAWKJ3I59,2.86%,3093208,
Company 128,Customer128,N/A,N/A,0.33%,353955,
Company 129,Customer129,N/A,N/A,0.64%,698174,
Company 130,Customer130,N/A,N/A,0.32%,343052,
Company 132,Customer132,N/A,N/A,0.30%,323587,
Company 133,Customer133,TREKLSN00026,789000HBB40EZ5QLBX03,0.23%,248837,
Company 134,Customer134,N/A,N/A,0.22%,237608,
Company 136,Customer136,N/A,N/A,0.26%,282373,
Company 138,Customer138,N/A,N/A,0.79%,855537,
Company 140,Customer140,N/A,N/A,0.74%,805585,
Company 143,Customer143,N/A,N/A,0.96%,1034223,
Company 144,Customer144,N/A,N/A,0.16%,177715,
Company 146,Customer146,N/A,N/A,0.01%,15558,
Company 150,Customer150,N/A,N/A,0.24%,263158,
Company 153,Customer153,N/A,N/A,0.03%,30951,
Company 154,Customer154,N/A,N/A,0.05%,52776,
Company 156,Customer156,N/A,N/A,0.04%,40440,
Company 158,Customer158,N/A,N/A,0.27%,295381,
Company 160,Customer160,N/A,N/A,8.61%,9319302,
Company 163,Customer163,N/A,N/A,0.01%,13426,
Company 164,Customer164,N/A,N/A,3.84%,4162288,
