company_name,company_id,company_isin,company_lei,weights,investment_value,engagement_target
Company 6,Customer6,N/A,N/A,1.65%,"3,101,504",
Company 116,Customer116,N/A,N/A,15.95%,"30,037,648",
Company 117,Customer117,N/A,N/A,11.47%,"21,590,662",
Company 119,Customer119,N/A,789000USXJ5EA7GBM139,7.81%,"14,708,835",
Company 121,Customer121,N/A,789000SVZUQTHE1Q7X60,8.61%,"16,208,861",
Company 123,Customer123,TREMEGM00024,789000M81MSDAWKJ3I59,1.64%,"3,093,208",
Company 128,Customer128,N/A,N/A,0.19%,"353,955",
Company 129,Customer129,N/A,N/A,0.37%,"698,174",
Company 130,Customer130,N/A,N/A,0.18%,"343,052",
Company 132,Customer132,N/A,N/A,0.17%,"323,587",
Company 133,Customer133,TREKLSN00026,789000HBB40EZ5QLBX03,0.13%,"248,837",
Company 134,Customer134,N/A,N/A,0.13%,"237,608",
Company 136,Customer136,N/A,N/A,0.15%,"282,373",
Company 138,Customer138,N/A,N/A,0.45%,"855,537",
Company 140,Customer140,N/A,N/A,0.43%,"805,585",
Company 143,Customer143,N/A,N/A,0.55%,"1,034,223",
Company 144,Customer144,N/A,N/A,0.09%,"177,715",
Company 146,Customer146,N/A,N/A,0.01%,"15,558",
Company 150,Customer150,N/A,N/A,0.14%,"263,158",
Company 153,Customer153,N/A,N/A,0.02%,"30,951",
Company 154,Customer154,N/A,N/A,0.03%,"52,776",
Company 156,Customer156,N/A,N/A,0.02%,"40,440",
Company 158,Customer158,N/A,N/A,0.16%,"295,381",
Company 160,Customer160,N/A,N/A,4.95%,"9,319,302",
Company 163,Customer163,N/A,N/A,0.01%,"13,426",
Company 164,Customer164,N/A,N/A,2.21%,"4,162,288",
Customer X,Customer X,N/A,N/A,21.24%,"40,000,000",
Customer Y,Customer Y,N/A,N/A,21.24%,"40,000,000",
